0	1264	835	1511	906
0	764	953	845	1012
0	1550	1091	2309	1186
0	1454	1245	1821	1308
0	2292	1249	2399	1311
0	2978	1247	3081	1310
0	1388	1357	1585	1434
0	1786	1379	1823	1434
0	1142	1483	1521	1694
0	1724	1485	2239	1694
0	1094	1777	1473	1862
0	1432	1925	2425	2148
0	810	2199	888	2268
0	1092	2199	1173	2270
0	818	2325	2843	2548
0	2969	2397	3213	2470
0	1190	2697	2667	2908
0	762	2955	949	3030
0	1134	2977	1171	3032
0	2096	2959	2163	3026
0	1372	3293	2501	3516
0	1766	3569	1829	3626
0	2362	3569	2439	3650
0	976	3697	2881	3908
0	680	3953	1437	4044
0	720	4103	1235	4314
0	1548	4093	3321	4316
0	1334	4369	1413	4448
0	1264	4549	1781	4760
0	2090	4541	2607	4762
0	2068	4799	2575	4908
0	770	4913	1429	5022
0	2064	4945	2121	5002
