0	396	472	1142	552
0	1226	478	1406	536
0	2514	474	3230	554
0	3314	498	3352	538
0	392	572	510	628
0	2438	574	2638	630
0	1310	726	1754	806
0	1902	730	2098	788
0	1542	820	1752	898
0	1900	824	2100	880
0	2220	824	2414	880
0	1192	982	1388	1040
0	1508	984	1702	1040
0	1012	1080	1190	1134
0	1354	1076	1822	1152
0	2588	1070	3336	1152
0	1090	1192	1196	1246
0	1850	1190	1916	1246
0	2102	1170	2294	1246
0	2434	1170	2560	1246
0	384	1254	814	1334
0	1118	1256	1848	1334
0	2588	1258	3250	1336
0	384	1348	1140	1426
0	1042	4038	1072	4100
0	1294	4038	1320	4100
