0	2737	1053	2778	1095
0	3168	1156	3410	1222
0	1586	1454	3056	1631
0	2645	1718	2771	1782
0	2933	1742	2975	1782
0	1314	1840	1440	1904
0	1615	1862	1658	1905
0	791	1982	833	2024
0	663	2203	945	2270
0	2339	2204	2463	2270
0	2640	2229	2682	2272
0	3251	2228	3282	2271
0	1089	2330	1214	2396
0	1391	2355	1433	2397
0	1405	2530	3203	2623
0	1011	2932	3753	3368
0	2171	3495	2214	3537
0	2063	3619	2106	3661
0	2051	3719	2082	3783
0	1607	3836	1733	3902
0	2057	3859	2100	3902
0	2452	3961	2691	4044
0	3590	3962	3866	4044
0	1088	4090	1126	4154
0	1086	4210	1211	4277
0	2005	4335	2614	4417
0	929	4508	1035	4588
0	1818	4507	1944	4572
0	2840	4507	2889	4573
0	2415	4664	2609	4743
0	2797	4617	3518	4780
0	3774	4663	3899	4728
0	1607	4803	1969	4977
0	2282	4844	2406	4910
0	664	4981	944	5064
0	1214	5280	3397	5441
0	951	5541	1077	5606
0	2731	5510	3263	5675
0	3615	5543	3729	5609
0	1485	5698	1612	5767
0	1661	5902	1934	5992
0	2463	5901	2664	5985
0	2912	5926	2962	5967
