0	440	442	982	479
0	550	542	871	580
0	621	661	801	692
0	342	1028	1079	1066
0	555	1804	866	1840
0	689	305	777	327
0	463	308	675	334
0	1060	337	1151	363
0	1072	363	1140	390
0	271	365	396	391
0	407	368	423	386
0	271	394	342	420
0	569	396	663	420
0	409	493	561	523
0	591	498	632	517
0	348	606	464	633
0	938	607	1032	631
0	1049	925	1072	951
0	981	931	1000	951
0	357	953	384	982
0	981	953	1060	979
0	878	957	898	983
0	730	959	751	980
0	1068	959	1117	977
0	1128	959	1140	977
0	421	1091	535	1120
0	932	1238	1003	1264
0	927	1267	1020	1293
0	372	1296	398	1315
0	487	1298	515	1316
0	837	1298	878	1316
0	375	1355	399	1373
0	1077	1384	1147	1408
0	840	1385	866	1403
0	578	1499	685	1523
0	701	1556	771	1582
0	500	1557	590	1581
0	1111	1584	1140	1611
0	780	1644	862	1670
0	1077	1644	1147	1670
